station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
185,14,8,22,8.536,14529.0,0.9040715618110903,18,11,2,1,1
186,7,14,21,7.715217391304347,2640.0,0.893229043016223,24,1,0,5,4
187,2,38,40,7.376,6545.0,0.9004228138601549,13,3,4,0,4
188,1,19,20,7.125806451612903,1320.0,0.7087383415295914,16,2,5,3,1
189,1,16,17,7.736000000000001,5311.0,0.880116443389294,21,2,5,4,1
190,12,18,30,7.9879999999999995,7211.0,0.8720046916511222,17,4,3,3,1
191,1,40,41,7.70625,774.0,0.7301782450586928,13,0,1,1,2
192,0,17,17,7.446341463414634,3428.0,0.7694175004239443,24,3,3,2,1
193,16,4,20,8.192,13673.0,0.9409971171782261,17,9,2,2,2
194,8,6,14,7.441666666666666,2352.0,0.851965971397886,12,1,5,4,4
